,orderID,namaPesanan,recommendationShown,recommendationAccepted
230,3fScT5vSP6ikzatvr2AL,['cireng isi'],False,False
231,3feY0tm57hUgpQprPb8P,"['sayur harian', 'teh', 'cireng isi']",False,False
232,3gn1DjslHs4MLCVeIsoZ,"['risol mayo', 'cireng isi', 'teh']",True,False
233,3hgQqBCH7UgKYkccJMVf,['kopi'],False,False
234,3kjJlHEe0UG71O7E1RnT,['risol mayo'],True,False
235,3oe6V4m2N8iZv2X5mTYf,"['mie', 'teh', 'risol mayo', 'cireng isi']",True,True
236,3pVEOjtD1A1QqxyIkjp0,"['penyetan', 'es jeruk']",True,False
237,3pvOdI0dz5fR4t9iyoZH,"['penyetan', 'tahu krispy', 'teh', 'kopi', 'air putih']",False,False
238,3s4Ojk4nIDqYb2jjBLLM,['french fries'],True,False
239,3sNxhYgnuvDsYqma7xIy,"['mie', 'es jeruk', 'kopi', 'penyetan']",True,False
240,3sOvQcHdovZxyC7cDsXs,['air putih'],True,False
241,3vH37ZrY7DK7iYB3KPGp,"['penyetan', 'teh']",True,False
242,3vV7sFvhc0sVttMU7QZG,"['nasi goreng', 'teh', 'telur']",False,False
243,3y1j7dCgFuHJhr8bMukv,"['risol mayo', 'pisang coklat keju']",True,False
244,3yJqRhuGv1NDhHGgnN4I,['cireng isi'],True,False
245,3zc3R3oFiyNwXjzyNMrH,['air putih'],False,True
246,3zqmaNXcyBbwAbVVCZAU,['risol mayo'],True,False
247,40U4sKcGSKjpVE3Boa6f,"['gorengan', 'cireng isi']",True,False
248,415ZgkJdnPve8gLJrGY3,['float'],True,False
249,419l5C93AHjGR0PYeECK,"['mie', 'tahu krispy', 'air putih']",True,False
250,42QdFySrgqP8Fi8EzQxg,['mie'],True,False
251,44yN2WQUIiDprZdWOICv,['risol mayo'],True,False
252,45ZqNx3pSYf5xVhpbM6Z,"['penyetan', 'es jeruk', 'gorengan']",True,False
253,49X85E07zS7OobovfFEx,['french fries'],True,False
254,49ev1ZkB5SmF6XSRpZ4r,"['teh', 'teh']",True,False
255,49tPnsRBQOkJiR1jzTuY,['teh'],False,False
256,4AYVxzycvAh6bBi2LPji,"['risol mayo', 'es jeruk', 'gorengan']",True,False
257,4BMKHIRaTUIAANOYu5Cc,"['kopi', 'teh', 'french fries']",True,False
258,4BbfDRfyKfINjD6YZnK8,"['mie', 'teh']",True,False
259,4Bq7kkyXSsHjB1Js4XeY,['risol mayo'],True,False
260,4DXsP1FXW9lPRKx9RMGU,"['float', 'cireng isi']",False,False
261,4Djb06xgToUm9XgDdouz,"['penyetan', 'es jeruk']",True,False
262,4Dv0P4ngTiC7k28Hsvxt,"['risol mayo', 'air putih', 'cireng isi']",True,False
263,4FVUzlEet2d4OLXr7VNL,"['nasi putih', 'mie']",True,False
264,4H04djdce9VNL5Z2AQAK,['gorengan'],True,True
265,4IbOqhA9Q7qhsbAC69DS,"['gorengan', 'cireng isi']",True,False
266,4IfFN3RBMaiJMGAMSHpK,['cireng isi'],False,False
267,4JEWw5wJwgnfY7KYDSP2,"['penyetan', 'float']",True,False
268,4LXpN7VHnraZqeIyyxfL,['teh'],True,False
269,4LZ5FUhWlIsx544Z6rK2,"['sayur harian', 'gorengan']",True,False
270,4LvMuuGminbQE3TKMrdT,['risol mayo'],True,False
271,4MyyBDSDBLw6hByKLbCI,"['sayur harian', 'es jeruk', 'teh']",True,False
272,4OOsLF4J22gdjgebY16P,"['mie', 'cireng isi']",True,False
273,4Omrvg61pFSBdIHf8IPf,"['teh', 'cireng isi', 'risol mayo', 'penyetan']",True,False
274,4P31H2nvBFN2aQUeuVQB,['mie'],True,False
275,4QFTnHgsSztmQAr7JgJh,"['mie', 'mie', 'mie', 'teh', 'nasi goreng', 'tahu krispy', 'risol mayo', 'gorengan']",True,False
276,4QmeZYUXoO8tZqLssOVX,['kopi'],False,False
